rank,cleaned_rank,rank_type
SERGEANT OF POLICE,SERGEANT,PO
INVESTIGATOR 2 IPRA,IPRA INV,IPRA
INVESTIGATOR 3 IPRA,IPRA INV,IPRA
LIEUTENANT OF POLICE,LIEUTENANT,PO
POLICE AGENT,POLICE OFFICER,PO
POLICE OFFICER,POLICE OFFICER,PO
INVESTIGATOR I IPRA,IPRA INV,IPRA
COMMANDER,COMMANDER,PO
CAPTAIN OF POLICE,CAPTAIN,PO
SUPERVISING INV IPRA,IPRA SUP INV,IPRA
PO AS DETECTIVE,DETECTIVE,PO
DEP CHIEF,DEPUTY CHIEF,PO
INTAKE AIDE,,OTHER
COOR /INVESTIGATIONS,IPRA COOR INV,IPRA
SUPV POLICE COMM,,OTHER
CHIEF,CHIEF,PO
SUPERVISING INVESTIGATOR,IPRA SUP INV,IPRA
PO ASGN EVID. TECHNI,POLICE OFFICER,PO
PO LEGAL OFF 2,POLICE OFFICER,PO
COOR OPERATIONS IPRA,IPRA COOR INV,IPRA
FIRST DEPUTY SUPT.,FIRST DEPUTY SUPERINTENDENT,PO
MGR DATA ENTRY &OPR,,OTHER
DEPUTY SUPT.,DEPUTY SUPERINTENDENT,PO
SUPT OF POLICE,SUPERINTENDENT,PO
DIR RESEARCH/PLANING,,OTHER
POLICE ADMINISTRATIVE CLERK,,OTHER
SUPV.CROSSING GUARD,,OTHER
TRAINING OFFICER,POLICE OFFICER,PO
SERGEANT PER ARBITRA,SERGEANT,PO
DEPUTY CHIEF ADMINISTRATOR,,OTHER
CROSSING GUARD COOR,,OTHER
CROSSING GUARD,,OTHER
ASSISTANT SUPERINTENDENT,,OTHER
ASST SUPV POLICE REC,,OTHER
COMM OF GENL SUPPORT,,OTHER
PR TELECOMM SPEC.,,OTHER
EXPL TECH 3,TECH,PO
SUPRV CLERK,,OTHER
ADMIN. IN CHARGE IPRA,IPRA ADMIN,IPRA
ADMIN. MANAGER,,OTHER
MGR OF NETWORK SUPPO,,OTHER
POL FORENSIC INV II,TECH,PO
MGR DATA ENTRY OPERS,,OTHER
DIRECTOR OF CAPS,,OTHER
CLERK 4,,OTHER
UNKNOWN,,OTHER
ASST DEPUTY SUP,ASSISTANT DEPUTY SUPERINTENDENT,OTHER
POLICE TECHNICIAN,TECH,PO
PO/FIELD TRNING OFF,POLICE OFFICER,PO
CHIEF HELICOPTER PILOT,POLICE OFFICER,PO
DETENTION AIDE,,OTHER
MANAGER OF POLICE RECORDS,,OTHER
CHIEF A/P SUPV,,OTHER
ASST GEN COUNSEL,,OTHER
ASST DIR INF SYSTEMS,,OTHER
DIR PERSONNEL SERV,,OTHER
COMMUNITY ORGANIZER,,OTHER
MGR POLICE PERSONNEL,,OTHER
CRIM HIST ANAL,,OTHER
HELP DESK MGR,,OTHER
POLICE AIDE,,OTHER
CAPS COORDINATOR,,OTHER
AREA COORDINATOR,,OTHER
MGR POL SYSTEMS SUPP,,OTHER
ADMIN ASSIST 2,,OTHER
MGR VEH MAINTANCE,,OTHER
STAFF ASSISTANT,,OTHER
MOTOR TRUCK DRIVER,,OTHER
TRAFFIC  CONTROL AIDE,,OTHER
PO/MOUNTED PAT OFF.,POLICE OFFICER,PO
MGR STSTEMS DEV,,OTHER
RECORD CLK,,OTHER
F/P TECH 3,,OTHER
INVESTIGATOR,INVESTIGATOR,PO
ADMIN SERV OFF II,,OTHER
POLICE COMM OPER 2,,OTHER
ASSOCIATE STAFF ATTORNEY,,OTHER
PO/MARINE OFFICER,POLICE OFFICER,PO
SPECIAL ASSIST,,OTHER
DIR OF INFORM SYST,,OTHER
ASST MGR FINANCE,,OTHER
CHIEF DATA BASE ANAL,,OTHER
HEAD CASHIER,,OTHER
FOREMAN OF ELEC MECH,,OTHER
SR PROG/ANALY,,OTHER
DIR POLICE FINANCE,,OTHER
CRIMINALIST 2,,OTHER
CUSTODIAL WORKER,,OTHER
SUPVR HEALTH NURSE,,OTHER
PO ASSG CANINE HANDL,POLICE OFFICER,PO
GAR ATT IN CHARGE,,OTHER
MGR VEHICLE ADJ,,OTHER
POL FORENSIC INV III,TECH,PO
